date, value
9/10/12,0.15
9/11/12,0.15
9/12/12,0.15
9/13/12,0.15
9/14/12,0.16
9/15/12,0.16
9/16/12,0.16
9/17/12,0.16
9/18/12,0.16
9/19/12,0.15
9/20/12,0.16
9/21/12,0.15
9/22/12,0.15
9/23/12,0.15
9/24/12,0.16
9/25/12,0.15
9/26/12,0.15
9/27/12,0.14
9/28/12,0.09
9/29/12,0.09
9/30/12,0.09
10/1/12,0.15
10/2/12,0.16
10/3/12,0.16
10/4/12,0.15
10/5/12,0.15
10/6/12,0.15
10/7/12,0.15
10/8/12,0.15
10/9/12,0.16
10/10/12,0.16
10/11/12,0.16
10/12/12,0.16
10/13/12,0.16
10/14/12,0.16
10/15/12,0.16
10/16/12,0.16
10/17/12,0.15
10/18/12,0.15
10/19/12,0.16
10/20/12,0.16
10/21/12,0.16
10/22/12,0.15
10/23/12,0.15
10/24/12,0.17
10/25/12,0.16
10/26/12,0.16
10/27/12,0.16
10/28/12,0.16
10/29/12,0.17
10/30/12,0.17
10/31/12,0.18
11/1/12,0.17
11/2/12,0.16
11/3/12,0.16
11/4/12,0.16
11/5/12,0.17
11/6/12,0.16
11/7/12,0.16
11/8/12,0.16
11/9/12,0.16
11/10/12,0.16
11/11/12,0.16
11/12/12,0.16
11/13/12,0.16
11/14/12,0.16
11/15/12,0.16
11/16/12,0.16
11/17/12,0.16
11/18/12,0.16
11/19/12,0.16
11/20/12,0.16
11/21/12,0.16
11/22/12,0.16
11/23/12,0.16
11/24/12,0.16
11/25/12,0.16
11/26/12,0.16
11/27/12,0.16
11/28/12,0.16
11/29/12,0.16
11/30/12,0.16
12/1/12,0.16
12/2/12,0.16
12/3/12,0.16
12/4/12,0.17
12/5/12,0.16
12/6/12,0.16
12/7/12,0.16
12/8/12,0.16
12/9/12,0.16
12/10/12,0.16
12/11/12,0.17
12/12/12,0.17
12/13/12,0.16
12/14/12,0.17
12/15/12,0.17
12/16/12,0.17
12/17/12,0.16
12/18/12,0.17
12/19/12,0.17
12/20/12,0.17
12/21/12,0.17
12/22/12,0.17
12/23/12,0.17
12/24/12,0.18
12/25/12,0.18
12/26/12,0.17
12/27/12,0.17
12/28/12,0.17
12/29/12,0.17
12/30/12,0.17
12/31/12,0.09
1/1/13,0.09
1/2/13,0.17
1/3/13,0.17
1/4/13,0.16
1/5/13,0.16
1/6/13,0.16
1/7/13,0.16
1/8/13,0.15
1/9/13,0.14
1/10/13,0.14
1/11/13,0.14
1/12/13,0.14
1/13/13,0.14
1/14/13,0.14
1/15/13,0.15
1/16/13,0.14
1/17/13,0.14
1/18/13,0.14
1/19/13,0.14
1/20/13,0.14
1/21/13,0.14
1/22/13,0.14
1/23/13,0.13
1/24/13,0.15
1/25/13,0.14
1/26/13,0.14
1/27/13,0.14
1/28/13,0.14
1/29/13,0.12
1/30/13,0.12
1/31/13,0.15
2/1/13,0.14
2/2/13,0.14
2/3/13,0.14
2/4/13,0.13
2/5/13,0.13
2/6/13,0.13
2/7/13,0.13
2/8/13,0.14
2/9/13,0.14
2/10/13,0.14
2/11/13,0.14
2/12/13,0.13
2/13/13,0.14
2/14/13,0.14
2/15/13,0.16
2/16/13,0.16
2/17/13,0.16
2/18/13,0.16
2/19/13,0.15
2/20/13,0.15
2/21/13,0.16
2/22/13,0.16
2/23/13,0.16
2/24/13,0.16
2/25/13,0.15
2/26/13,0.14
2/27/13,0.14
2/28/13,0.14
3/1/13,0.14
3/2/13,0.14
3/3/13,0.14
3/4/13,0.16
3/5/13,0.15
3/6/13,0.15
3/7/13,0.16
3/8/13,0.15
3/9/13,0.15
3/10/13,0.15
3/11/13,0.16
3/12/13,0.15
3/13/13,0.14
3/14/13,0.15
3/15/13,0.16
3/16/13,0.16
3/17/13,0.16
3/18/13,0.16
3/19/13,0.15
3/20/13,0.15
3/21/13,0.16
3/22/13,0.15
3/23/13,0.15
3/24/13,0.15
3/25/13,0.15
3/26/13,0.14
3/27/13,0.12
3/28/13,0.13
3/29/13,0.09
3/30/13,0.09
3/31/13,0.09
4/1/13,0.16
4/2/13,0.15
4/3/13,0.14
4/4/13,0.14
4/5/13,0.15
4/6/13,0.15
4/7/13,0.15
4/8/13,0.15
4/9/13,0.15
4/10/13,0.15
4/11/13,0.15
4/12/13,0.15
4/13/13,0.15
4/14/13,0.15
4/15/13,0.15
4/16/13,0.15
4/17/13,0.15
4/18/13,0.15
4/19/13,0.15
4/20/13,0.15
4/21/13,0.15
4/22/13,0.15
4/23/13,0.14
4/24/13,0.13
4/25/13,0.13
4/26/13,0.13
4/27/13,0.13
4/28/13,0.13
4/29/13,0.13
4/30/13,0.14
5/1/13,0.14
5/2/13,0.15
5/3/13,0.14
5/4/13,0.14
5/5/13,0.14
5/6/13,0.14
5/7/13,0.12
5/8/13,0.12
5/9/13,0.12
5/10/13,0.12
5/11/13,0.12
5/12/13,0.12
5/13/13,0.12
5/14/13,0.11
5/15/13,0.12
5/16/13,0.11
5/17/13,0.1
5/18/13,0.1
5/19/13,0.1
5/20/13,0.1
5/21/13,0.09
5/22/13,0.08
5/23/13,0.08
5/24/13,0.09
5/25/13,0.09
5/26/13,0.09
5/27/13,0.09
5/28/13,0.09
5/29/13,0.08
5/30/13,0.08
5/31/13,0.09
6/1/13,0.09
6/2/13,0.09
6/3/13,0.1
6/4/13,0.11
6/5/13,0.09
6/6/13,0.1
6/7/13,0.09
6/8/13,0.09
6/9/13,0.09
6/10/13,0.09
6/11/13,0.09
6/12/13,0.08
6/13/13,0.09
6/14/13,0.1
6/15/13,0.1
6/16/13,0.1
6/17/13,0.11
6/18/13,0.12
6/19/13,0.1
6/20/13,0.1
6/21/13,0.1
6/22/13,0.1
6/23/13,0.1
6/24/13,0.1
6/25/13,0.09
6/26/13,0.09
6/27/13,0.09
6/28/13,0.07
6/29/13,0.07
6/30/13,0.07
7/1/13,0.1
7/2/13,0.1
7/3/13,0.1
7/4/13,0.1
7/5/13,0.1
7/6/13,0.1
7/7/13,0.1
7/8/13,0.1
7/9/13,0.1
7/10/13,0.09
7/11/13,0.09
7/12/13,0.09
7/13/13,0.09
7/14/13,0.09
7/15/13,0.09
7/16/13,0.09
7/17/13,0.09
7/18/13,0.09
7/19/13,0.09
7/20/13,0.09
7/21/13,0.09
7/22/13,0.09
7/23/13,0.09
7/24/13,0.09
7/25/13,0.09
7/26/13,0.09
7/27/13,0.09
7/28/13,0.09
7/29/13,0.08
7/30/13,0.09
7/31/13,0.09
8/1/13,0.08
8/2/13,0.09
8/3/13,0.09
8/4/13,0.09
8/5/13,0.08
8/6/13,0.09
8/7/13,0.09
8/8/13,0.09
8/9/13,0.08
8/10/13,0.08
8/11/13,0.08
8/12/13,0.08
8/13/13,0.08
8/14/13,0.09
8/15/13,0.08
8/16/13,0.09
8/17/13,0.09
8/18/13,0.09
8/19/13,0.09
8/20/13,0.09
8/21/13,0.08
8/22/13,0.09
8/23/13,0.08
