,RegionID,RegionName,City,State,Metro,CountyName,District,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,Average,,,,
1906,62077,11365,New York,NY,New York,Queens,#N/A,1907,224000,224200,224700,225100,225600,226100,226500,227100,227900,228500,228600,228700,229000,229800,230900,232300,233900,235600,237400,239500,241900,244000,245600,246900,248500,250400,252400,254500,256700,258700,260700,262900,265200,267200,268600,269800,271300,273400,275800,278500,281400,284200,287200,290400,293900,297100,299500,301800,304500,307800,311500,315500,319700,323800,328000,332500,337100,341100,343900,346500,349400,352900,356800,360800,364700,368300,371600,374800,377800,379600,379900,379600,379600,380400,382000,383800,385900,388300,391500,392100,392700,399600,414300,430700,444300,451900,454800,455600,456100,457700,461200,467300,475400,483500,490400,497200,504400,512700,521800,531300,540500,549500,558000,566400,574000,579600,583300,587100,592200,598800,606700,615200,623700,631700,639000,646400,653500,658800,661900,664300,667300,671500,676400,680500,683000,682500,677900,670900,663100,656100,650000,644700,639800,635600,631200,626800,623400,621600,620800,621500,622700,623200,622100,619100,614400,609400,604800,601100,598600,596400,594000,592300,591300,590100,587900,584900,581700,579100,576800,575600,575600,575900,576700,579100,582700,585400,585800,588700,593400,595400,596600,600300,599600,594700,592800,589300,584500,581800,585800,589900,593300,596200,597400,594200,593200,596500,596800,593700,589200,585000,580000,575500,570500,567400,567600,567700,565500,563900,565100,568000,570700,571900,572600,574900,579600,584800,588700,591900,597400,605300,612900,619400,626100,634600,643500,650600,655000,659400,664400,671500,679600,685900,689300,693500,698300,702400,704500,704300,704500,708000,714500,721000,724000,723100,724200,729200,735400,740800,745100,747700,750700,753900,755600,757700,764400,772500,778100,783500,790000,795200,798100,801900,807200,813200,817700,823100,829100,835600,841700,845100,845400,846000,849300,855700,861600,851600,,,,
1931,62006,11103,New York,NY,New York,Queens,#N/A,1932,182600,182400,182200,182100,182000,182000,182000,182200,182700,183000,183000,182800,182700,182900,183300,183900,184600,185400,186300,187600,189200,190600,191700,192600,193800,195200,196800,198600,200400,202300,204300,206600,209200,211400,213100,214600,216400,218400,220600,223000,225400,227900,230600,233600,236800,239700,242100,244200,246600,249200,252100,255100,258300,261400,264600,268200,272100,275300,277700,279700,281900,284400,287000,289700,292300,294700,297000,299800,302600,304500,305100,305500,305900,306800,308000,309300,310700,312100,314100,313400,312300,316800,328500,341900,354400,364200,371900,378500,384000,388800,393400,398800,404800,410000,414000,418000,422700,428600,435500,443500,452800,463800,475700,488000,499300,508000,514400,520400,526600,532500,538000,542800,547400,552000,557000,563600,571600,579000,584800,589900,595100,600500,605700,610200,613300,613300,609500,604000,598800,595100,593500,594700,597600,600300,601800,602800,604400,606700,609500,613100,615500,614800,610300,604200,597100,589500,582700,578700,576700,574900,572800,571700,571000,569600,567200,565300,564400,563600,561500,559300,557200,555000,554100,556000,559700,562400,563200,560600,554900,550800,551100,551600,546300,537400,532100,525700,518800,517000,520400,522100,523600,525900,529700,533400,539200,548600,557400,561200,562900,564800,565500,565900,565900,565600,559600,552400,549700,549800,548600,551100,554900,556900,561600,568600,573900,578600,589400,599900,607300,618400,627400,629200,630100,632400,633500,641500,652800,659900,663800,668700,675500,676900,675500,679600,689100,694200,699400,705100,713500,722900,734200,746500,758400,765700,773600,783000,791300,799600,806600,809400,814600,824800,835100,843300,855500,865800,876700,888100,900500,910200,913600,913600,916800,924400,928100,929800,927800,934600,945500,952900,948800,951200,956000,963500,969000,957700,,,,
1980,62079,11367,New York,NY,New York,Queens,#N/A,1981,189100,189100,189100,189100,189000,188900,188600,188600,188800,188800,188400,187900,187600,187700,188000,188600,189200,189900,190600,191800,193200,194500,195500,196400,197500,199000,200800,202800,204800,206900,209100,211600,214500,217100,219200,221200,223500,226200,229000,231900,234800,237600,240300,243300,246500,249300,251500,253400,255600,258200,261100,264200,267200,270200,273200,276600,280300,283600,285900,288100,290700,293800,297300,300900,304200,307200,309900,313000,316000,318200,319200,319800,320600,322200,324100,326200,328100,330000,332500,332400,332300,337900,350300,364000,375100,381100,383500,385100,387800,392800,399100,406400,413600,419400,423700,427900,432900,439300,446800,454700,462000,468500,474400,480500,486100,489800,491700,493700,496500,500400,505100,510100,515100,520600,526600,533800,541700,548900,554500,559600,565000,571100,577000,581900,584900,584800,581500,576400,571400,567700,565300,563300,560900,558400,555300,551800,548400,545400,542600,540200,537300,534000,530200,525800,520900,516300,512100,508600,505900,503500,501400,499900,498200,496600,494900,492600,490100,487900,485800,484400,483600,483200,483600,485000,488200,489200,488500,490000,491800,491000,492000,494400,494400,491900,491200,489800,488200,488200,491200,493300,496700,500800,502000,499800,500100,505900,509800,510800,510000,509300,507500,506500,504700,503600,504800,507300,509800,511500,511400,511900,514400,516600,518000,519800,523000,527100,531200,535200,538400,540100,542500,546900,550800,554500,557600,560400,563800,567300,570000,573200,577300,580900,584200,587200,590100,595200,602300,608400,612900,618400,626200,635100,641100,645100,651200,658500,664500,671100,679400,685400,689300,694600,700300,704100,708400,712600,715700,720200,726000,729900,731900,735000,740000,745700,750200,756000,764600,773800,783900,794000,801700,807400,810900,813300,815900,809840,,,,
272,61635,10021,New York,NY,New York,New York,Manhattan,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13922800,13140500,12333800,11490700,10641200,9840100,9192000,8775700,8601100,8604300,8720600,8895900,9084200,9255300,9386400,9462700,9484900,9463700,9417200,9381500,9386700,9444700,9559800,9722800,9915500,10121500,10311300,10460600,10555000,10548400,10364700,10007400,9559600,9154200,8885700,8757500,8727900,8754300,8771700,8744900,8706900,8711800,8822200,9064200,9387900,9702500,9933800,10049200,10113400,10196100,10293700,10385600,10469700,10545700,10621200,10704000,10774700,10827900,10862000,10883800,10956300,11101000,11232200,11287000,11313300,11301600,11250600,11233000,11305300,11415000,11469100,11609900,11762000,11763400,11863500,12306900,12780700,13091400,13320400,13445900,13485100,13479900,13376300,13240500,13224200,13240700,13170400,13043800,12918400,12837300,12786100,12682500,12589400,12495300,12517100,12434700,12067200,11624000,11357900,11136900,11025200,10991600,10938500,10870900,10848000,10836800,10921900,11052900,11151000,11168300,11191400,11215900,11294800,11414600,11484300,11630200,11788400,12055100,12331200,12710000,12964200,13257300,13585200,14034000,14226200,14246100,14426900,14742000,14945000,14970900,15065700,15220900,15663600,16271900,16684700,16644000,16659500,17149200,17775200,17965800,17853100,17992200,18246500,18341500,18378200,18482700,18527300,18517400,18599500,18565500,18484000,18655400,19082200,19314900,19282600,19103000,18935700,18838800,18859700,19056700,19215000,19128600,18889900,18703500,18605300,18569400,18428800,18307100,18365900,18530400,18337700,17894900,18287200,,,,
2043,62005,11102,New York,NY,New York,Queens,#N/A,2044,168600,169500,170400,171400,172500,173600,174700,176100,177700,179100,180000,180800,181500,182500,183600,184800,185900,187200,188400,189900,191700,193200,194200,195000,196000,197300,198800,200400,202100,204000,206000,208300,210900,213300,215100,216700,218600,220700,223100,225700,228400,231100,234000,237200,240800,244000,246500,248900,251400,254200,257400,260600,263900,267200,270600,274200,278100,281400,283600,285500,287500,289800,292300,294800,297300,299700,302000,304600,307200,308900,309400,309400,309600,310300,311300,312500,313800,315200,317200,316300,314900,319200,331000,344400,357000,366500,373900,380400,386200,391500,396700,402400,408700,414100,418200,422200,427100,433400,441200,449900,458800,467800,476800,486600,496200,504300,510200,516300,522800,529200,534600,539600,544500,550300,557400,566800,577700,587700,594300,599700,605400,610900,615500,620100,623600,624400,621100,615400,609600,605900,602600,602200,604900,607200,605600,602400,598600,596400,595700,596200,596500,596000,591200,586800,584900,584000,581700,581500,581800,582500,583100,584500,586600,589300,588100,588400,592900,599200,600000,595400,585800,576300,568000,563600,558500,547000,544800,535800,514300,495800,495900,500300,504400,506700,516100,524400,528400,533600,539200,544600,551100,553400,551600,554200,566900,579200,580000,575900,575900,578100,584700,593700,597000,596200,595300,590400,584400,583100,584700,587600,591600,595700,598600,601600,604400,607600,611800,616000,619700,624900,630000,630900,629100,633100,636200,636100,642900,657800,667200,672000,678000,684800,690500,694300,699400,703000,708700,721100,738300,750700,761700,772200,778300,782700,790200,797700,802800,811300,819000,821000,824900,837300,853400,873100,896400,916500,931200,943300,957100,967700,970700,976400,987300,996700,1003400,1013200,1015800,1010800,1008000,1027500,1053700,1071500,1072700,1088200,1112100,1079640,,,,
2088,61780,10304,New York,NY,New York,Richmond,#N/A,2089,157500,157000,156500,156000,155500,155100,154800,154700,154700,154800,155100,155300,155600,156000,156500,157000,157500,158100,158700,159400,160200,161000,161800,162500,163200,163800,164400,164900,165400,165900,166400,166900,167500,168200,169000,169800,170800,171800,173000,174300,175700,177200,178800,180600,182700,184900,187200,189400,191700,194000,196300,198700,200900,203100,205300,207500,209800,212000,214300,216500,218900,221200,223600,226100,228500,231100,233700,236300,239100,241800,244500,247100,249800,252300,254900,257400,259800,262300,264700,267000,269200,271400,273700,276300,278900,281400,284000,286800,289700,293000,296600,300300,304000,307500,310800,314000,317400,321100,325100,329300,333300,337000,340900,345100,350100,355700,361300,366900,372400,377600,382700,387900,392900,397600,401900,405600,408700,411400,413900,416400,418900,420700,421600,421800,421400,420700,420000,419000,418000,417100,416400,416100,416300,416300,415800,415100,414300,413600,413000,412400,411600,410500,409100,407800,406600,404700,402000,399300,396800,394400,392300,390400,388500,386800,385100,384000,383300,381700,379400,377800,377100,376700,376400,376200,376200,376100,376200,375800,373800,371500,370900,370600,369900,369000,367100,364600,362700,361500,359400,355300,351800,351100,351200,350500,349900,349700,350000,350100,349600,348600,348100,347700,347500,348200,350200,352100,352800,352700,352500,352900,354000,356500,358900,361000,361600,361300,361300,361200,361200,362000,362600,362500,361800,358100,354300,353900,355300,356300,356800,358300,360200,361400,363400,366200,368400,372700,377600,381000,384800,389200,392200,393600,395100,397200,399800,402000,405000,409900,414900,418000,419900,421900,424000,426700,430000,433500,438000,443400,447700,448600,449200,452700,458300,464700,472400,481900,490300,495600,498800,502000,505600,509900,515700,523500,529800,516900,,,,
2214,61777,10301,New York,NY,New York,Richmond,#N/A,2215,175800,175500,175200,174900,174600,174300,174100,174000,174000,174200,174400,174600,174800,175100,175500,176000,176500,177100,177700,178400,179200,180200,181200,182100,183200,184300,185500,186600,187900,189100,190500,191900,193500,195200,196900,198600,200500,202500,204700,206800,209000,211100,213400,215700,218100,220600,223100,225500,227900,230400,232700,235000,237200,239200,241200,243100,245100,246900,248700,250500,252400,254300,256200,258300,260300,262400,264600,266900,269300,271900,274500,277200,280200,283400,286700,290100,293400,296900,300500,304100,308300,313200,318500,323200,327200,330200,332600,334800,337200,339800,342500,345200,347800,350100,352200,354500,357500,361400,366100,371300,376500,381800,387600,393900,400700,407800,414800,421900,428700,434700,440100,445100,449700,454000,457900,461100,463300,464600,465400,466100,467000,468100,469000,469300,468500,467100,465500,464100,463600,464100,465200,467200,469900,472000,473100,473400,473400,473600,473800,473200,471300,467800,462700,456800,451300,446000,441000,436900,434000,431800,430000,428400,427300,426400,425300,424200,423900,423300,422100,421000,420400,420200,420200,419800,418800,418300,418800,418600,416200,413400,412100,411800,412100,411000,407900,402800,397300,392900,389900,385200,379500,376200,375400,375300,374100,372700,372900,375400,377700,378900,378600,379700,382300,385900,389100,391300,391500,390700,388700,387300,387600,388500,389500,391100,391900,391100,388300,385600,384800,385200,386300,389700,392300,390500,389600,393000,396900,398500,400200,403200,406300,408100,409900,411400,414400,421000,427700,429800,429600,429800,430500,431200,433300,437000,441200,443400,444400,444800,446300,449100,454300,460900,466300,467400,467100,470200,477700,485200,491700,498100,502900,504700,508700,515800,523500,531500,539600,544900,543500,538900,536800,539300,542000,547300,552900,543660,,,,
2497,62069,11357,New York,NY,New York,Queens,#N/A,2498,248700,248000,247600,247400,247500,247700,248100,248900,249700,250400,250800,250900,251200,251800,252800,253900,255200,256800,258300,260200,262200,264000,265400,266700,268100,269900,272000,274300,276800,279200,281500,283900,286400,288400,289900,291200,293000,295300,298100,301500,305300,309400,313600,318100,322900,327200,330700,333900,337200,340800,344600,348600,352600,356600,360200,364100,367900,371000,373100,375000,377200,380300,384100,388700,393700,399000,404200,409300,414100,417200,418200,417900,417400,417300,417700,418800,420500,423000,426500,427700,429000,436900,453500,473300,491900,505400,513200,515500,513500,510200,508400,509800,514300,519900,525600,531800,539200,548200,558800,571000,584200,597700,610700,623000,633200,639900,643200,645400,647900,651600,656600,662700,669700,677200,684500,691700,698100,702400,704300,705400,706900,709300,712100,714300,715500,714300,710000,704400,699000,695100,692400,690500,688500,686100,683000,679700,676900,674500,672500,671500,670100,667600,664300,660400,655700,650600,645200,640700,637700,635000,632300,630700,629200,627500,625300,622900,620600,618300,616200,616100,617700,619200,620900,623400,627800,630700,630000,628000,625500,621200,618800,618700,614600,606900,602400,598400,594700,594100,598900,602100,605800,610100,612500,611700,613000,617500,617900,613800,608400,604100,598600,593500,586300,579900,575900,572300,568600,568900,570400,571400,571500,570100,569000,572600,582100,593300,603600,611500,618800,625900,633500,642400,652400,662900,672700,679900,683500,685600,687500,691000,695500,698100,699600,701500,702700,703000,703600,705900,709400,714600,722300,731400,737500,741300,747500,754900,759800,763800,769000,771700,774300,778500,782400,784100,785600,787300,789600,794700,801400,805800,806500,807800,811700,818400,823400,829700,838500,847600,854100,858600,863100,870000,878700,888500,896400,879340,,,,
2532,61781,10305,New York,NY,New York,Richmond,#N/A,2533,159200,158900,158600,158300,158000,157800,157600,157600,157800,158100,158500,158700,159000,159200,159400,159600,159800,159900,160200,160500,160900,161600,162200,162700,163200,163800,164300,164800,165200,165600,166100,166500,167100,167900,168700,169500,170400,171300,172400,173500,174700,176100,177600,179200,181200,183400,185600,187800,190000,192200,194400,196500,198600,200600,202700,204900,207300,209700,212200,214700,217300,219800,222500,225100,227800,230600,233400,236300,239400,242600,245800,248900,252100,255100,258000,260800,263500,266100,268700,271400,274100,276700,279400,282300,285600,289500,294000,299100,304300,309600,314500,318900,322700,326300,329600,332700,335700,338700,341700,344700,347700,350800,354500,358800,364100,370000,376300,382700,389100,394900,400200,405100,409600,413700,417200,420000,422000,423400,424600,426100,427900,429700,431200,432400,433200,433900,434600,435100,435200,434700,433600,432100,430500,428500,426000,423300,420600,418100,416200,414700,413300,411900,410400,409200,408000,406100,403200,400100,397400,394900,392400,390000,387700,385600,383700,382600,381900,380500,378800,377800,377600,377300,376800,376100,374700,373700,373800,374100,372900,371100,370600,370800,371500,372200,371400,369400,368200,368100,366700,362300,358000,356800,357000,356500,356100,356200,356400,357000,357300,356800,355600,355100,355000,356100,357500,357900,356000,353800,352300,352200,352200,353000,354000,355100,355700,355500,355400,356000,356500,356400,356300,357700,360100,360000,359500,361000,363700,364500,364100,364200,365100,365800,367500,368400,368600,370800,374000,376100,377900,381000,385200,388700,391600,395000,398700,400500,401800,404900,409200,412000,413800,415100,415900,417600,421800,427100,432600,438500,443000,445200,447500,451900,458200,465600,473400,480900,486600,489700,491900,494600,498700,503500,508400,514900,521600,509420,,,,
2790,62008,11105,New York,NY,New York,Queens,#N/A,2791,185700,186300,187000,187800,188700,189500,190300,191200,192400,193300,193700,194000,194400,195200,196200,197200,198300,199500,200600,202000,203600,205000,205900,206800,207800,209200,210900,212800,214700,216600,218600,220800,223300,225500,227000,228400,230000,232000,234400,236800,239400,241900,244400,247200,250300,252900,254900,256700,258800,261400,264400,267600,270900,274100,277300,280800,284500,287500,289600,291400,293500,296200,299200,302400,305500,308500,311200,314100,317000,319100,319900,320400,321300,322900,325000,327400,329900,332400,335200,335200,334700,340200,352900,367000,378600,385000,387500,388400,389200,390600,392900,396800,402400,408200,413600,419300,426000,434200,443700,454100,464900,475700,486400,497000,506800,514300,519700,525000,530700,536100,540700,544400,548300,553600,561200,571200,581700,589700,593900,596800,600500,605500,611300,616800,620800,621300,617700,611300,604200,597800,592600,589700,588900,588200,586600,585700,586200,587200,588100,589400,590600,590400,588400,586200,584500,581800,578600,576500,575400,573900,572900,572400,572100,570800,568300,566400,566500,565900,563400,560800,558500,556200,556000,558400,560300,560800,561600,560600,553700,549100,552300,557200,553500,544700,539000,535600,533100,532500,533400,532100,532300,535700,538300,539800,545300,555400,562100,564800,565800,568300,572900,579400,584800,586900,583500,577900,578600,584000,585500,580300,574100,571400,573100,576900,579400,581800,589500,599200,605300,611600,619900,630700,644100,656600,664400,669600,674500,679900,683400,683100,686500,690200,690700,689900,690400,691900,693700,696100,700500,706400,714400,727600,737000,744200,755700,770300,781200,786800,788200,789800,795100,801200,806200,810700,818200,821100,823000,835300,859500,877600,886600,891000,898200,906800,911800,911000,908900,911800,915900,912800,900800,897900,904900,918000,929200,910160,,,,
2814,61805,10465,New York,NY,New York,Bronx,#N/A,2815,172900,172900,172900,172700,172400,172100,171900,171900,172200,172800,173400,173900,174400,175100,175700,176100,176400,176600,176800,177100,177600,178300,179000,179600,180200,180800,181400,181900,182300,182500,183000,183600,184500,185700,187000,188200,189600,191000,192300,193500,194500,195400,196400,197400,198800,200400,202000,203600,205300,207100,208800,210300,211700,213000,214300,216000,217900,220100,222500,224900,227600,230300,233000,235400,237500,239500,241600,244000,246700,249600,252700,256000,259300,262600,265800,268400,270600,272500,274300,276500,278700,280600,282200,283500,284400,285500,288100,293700,302100,311500,320100,326800,331600,335400,338900,342600,346600,350500,353800,356500,359100,362500,367100,372600,378500,384400,390000,395400,400900,406100,411200,415800,419700,422900,425800,428900,432700,436800,441300,446300,451100,455500,459200,461700,463100,464000,464800,466300,468000,468800,468900,469700,470700,471400,471200,469700,467000,464000,460700,457900,454900,450600,445000,439800,434300,428900,424000,419800,416600,414300,412100,410600,409000,405800,401900,399300,397200,395000,393000,391400,390000,389700,390800,393400,396700,397900,396900,396400,397500,398900,401200,403700,404900,404700,404300,393500,380100,378700,385600,385400,381700,378800,376100,375300,375800,374000,369800,369300,371300,372400,371900,372200,370900,368200,366300,364200,362300,361200,360600,364300,369200,370100,369200,370900,374200,378500,380600,381300,382400,382900,383200,383800,384500,385200,385900,386600,387300,387200,386300,385800,386000,387000,388300,389100,389200,389400,390000,390900,392400,395200,397200,398400,398800,398200,397300,396900,396400,394100,390100,388700,391200,395600,400300,403300,405600,409700,415100,420600,426200,431700,437700,442000,444300,447400,453600,459500,462600,466500,472300,477300,480600,480700,479900,482700,485900,481960,,,,
2845,62076,11364,New York,NY,New York,Queens,#N/A,2846,244800,245200,245800,246400,246800,247200,247400,247700,248300,248800,248700,248400,248500,249000,250000,251200,252400,253700,255000,256600,258500,260200,261300,262200,263300,264900,266700,268700,270700,272500,274400,276600,279200,281500,283300,285100,287400,290400,294000,298000,302100,306200,310500,315100,320200,324900,328800,332500,336600,341200,346200,351400,356300,360900,365200,369700,374500,378500,381300,383700,386700,390300,394500,398600,402500,406000,409000,412200,415200,417000,417300,417000,417200,418300,420300,422600,424900,427200,430100,430400,430800,438200,454200,472000,485900,492200,492900,491800,492100,495300,501100,509200,518300,526300,532400,538000,544600,552700,562300,572400,582300,591600,600300,609200,617300,623300,627500,632000,637800,645400,654000,663000,671700,680000,687800,695700,703000,708200,711000,713200,715900,719700,723900,727300,728600,726200,720000,711800,703300,696200,690900,687500,684700,681800,678400,674500,671100,668500,666600,665500,664300,662200,659300,655500,650200,644000,638600,634900,632300,629900,627500,625700,623900,621800,619600,617800,615700,613200,610800,609200,608300,607900,608600,610600,614000,616600,616800,617900,619800,621000,624100,629700,630600,626300,624200,621600,619500,621000,625300,624500,623400,624000,622100,615600,613300,617800,620500,620100,618400,615900,612800,612400,613100,614500,616100,617100,618100,619400,619800,620400,621400,621500,621700,623200,626500,631500,636900,641500,645400,650200,656800,664900,672100,678700,685000,689900,693400,697200,701900,708800,717800,724400,726900,729900,735500,741200,745700,750500,753700,756000,761400,769800,775300,778500,783800,789700,792400,796400,803000,807800,811300,815000,817100,817000,817600,818800,820600,825900,833600,839100,841100,844700,850400,856000,859400,864000,869600,875000,880100,881400,878000,874600,875200,879600,884400,878360,,,,
3183,62070,11358,New York,NY,New York,Queens,#N/A,3184,228000,228400,228900,229400,229900,230200,230500,230700,231200,231400,231000,230500,230100,230300,230800,231600,232600,233900,235400,237300,239600,241800,243500,245000,246700,248800,251000,253300,255500,257500,259400,261300,263500,265400,266600,267700,269300,271600,274400,277700,281200,284900,288800,293000,297600,301900,305500,308900,312600,316800,321300,326100,330800,335200,339500,343900,348300,351900,354600,356900,359500,362800,366500,370400,374100,377500,380400,383300,385900,387400,387300,386800,386600,387200,388700,390600,392900,395500,398900,400100,401500,408900,423800,440400,453900,460800,462300,461400,460300,460700,462900,467700,474200,480600,486200,491900,498800,507500,517800,528900,540000,551000,561700,571900,580700,587100,591100,595200,600600,607900,616500,625500,634200,642500,650100,657800,665500,671800,675800,678400,680600,683000,685200,686100,685000,681200,674100,665300,657000,650700,646800,644900,644100,643700,642500,640800,639500,639300,639800,641200,642400,642000,639100,633800,626600,618900,611800,606700,603700,601300,598700,596700,595100,593400,590800,587700,585000,582400,579900,578800,578800,578900,579700,582400,586400,589000,589700,591500,593200,592400,592200,594900,593700,587500,583900,580200,575900,573300,575300,576100,577700,580700,581600,578000,575800,577700,576800,573100,569200,566800,564900,564600,563700,564700,568100,569500,569500,573600,579400,582200,582000,581200,581100,582900,586500,590400,594500,599400,605000,610300,615300,621100,628200,635700,642800,649000,653900,658300,662700,669600,678200,684100,687800,692900,698600,703700,707800,710500,712000,713700,718100,725000,730600,733500,738200,745000,750800,755200,759500,761500,763200,767400,770300,770500,771800,772400,772900,778200,787100,793700,797300,803100,812100,821000,827700,834500,841700,851200,860600,866000,868900,873700,877600,881400,885600,877440,,,,
3198,62007,11104,New York,NY,New York,Queens,#N/A,3199,177400,177500,177700,178000,178400,178700,179100,179700,180500,181100,181300,181400,181700,182200,182900,183800,184700,185700,186700,188000,189500,190800,191700,192500,193500,194700,196200,197900,199700,201600,203600,205900,208500,210700,212400,214000,215800,217900,220200,222700,225300,227800,230400,233200,236300,238900,240900,242700,244700,247000,249600,252400,255300,258300,261300,264700,268300,271300,273400,275300,277500,280200,283200,286300,289500,292600,295600,298900,302200,304600,305600,306400,307300,308700,310500,312500,314500,316600,319200,318700,317300,321600,333000,345800,357500,366200,372700,377600,381000,383500,386000,390100,395700,401300,406000,410700,415800,421400,427500,434200,442400,452400,463600,475600,486900,495500,501200,506100,509900,512500,514200,515700,517500,520000,523300,527800,533500,539100,544400,551200,560800,573100,586500,599400,610000,616200,617300,615200,612300,609900,608000,607300,607100,606000,603700,601400,599500,598600,598500,598900,598300,596400,593200,590100,586100,581000,576200,572700,569000,564600,560500,556800,553100,549600,545900,542900,540100,536300,532500,531000,531300,533000,537400,543400,548900,553000,556300,553100,542700,532900,530500,530500,525700,516500,511200,513200,520700,528600,533500,535400,536300,534900,532600,531000,533500,541400,547000,544800,540200,537800,536400,538600,550400,570800,579300,571200,566500,568600,566800,560900,554300,548400,547700,553000,560400,569700,583600,604200,623200,637000,647300,658100,664300,667600,674200,682800,688700,691900,700200,711300,722300,730900,740800,749900,763200,777700,788700,795700,799900,801500,805700,814600,822500,829600,838700,849900,860100,870800,881000,889000,894700,897900,899800,902600,908600,915700,925500,937000,947000,951100,948700,949300,956400,962700,963800,968200,971600,971800,969600,967700,965000,967400,973100,976900,976400,971760,,,,
508,61628,10014,New York,NY,New York,New York,Manhattan,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299500,4648100,4168100,3833300,3601700,3433500,3327400,3290000,3317600,3393000,3500600,3637200,3786400,3923400,4027600,4075200,4044600,3957900,3862900,3804000,3804300,3863900,3976700,4157900,4398500,4669800,4944600,5180800,5304200,5289100,5141600,4901400,4626400,4392400,4245700,4204800,4224000,4256000,4296200,4343100,4363000,4380300,4472500,4675700,4957700,5247500,5484200,5664800,5777600,5808700,5806600,5802700,5756600,5688800,5671400,5718700,5791900,5852400,5891100,5938500,5988900,6023600,6076600,6156000,6196700,6177200,6138800,6109900,6096400,6085000,6089300,6037100,6011100,6077600,6091100,5991100,6018600,6157400,6240200,6217900,6195400,6264700,6427100,6526100,6583700,6714700,6827100,6831600,6860300,6961300,7004800,6985300,6938500,6907100,6883500,6878800,6902000,6939400,6970700,6997500,7022300,7039800,7057900,7066500,7083800,7107500,7165400,7201800,7177700,7143400,7247200,7457400,7612700,7803200,7995100,8065400,8072100,8127900,8105200,8254400,8476600,8661800,8905000,9130400,9248100,9308100,9391400,9614100,9887000,10022200,10118400,10136900,10078900,10143700,10075800,9938600,9827500,9571200,9278700,9252000,9458600,9590700,9629300,9738300,9884900,9701500,9357100,9136500,8965100,8876100,8976500,9126300,9135300,9131700,9095800,9103000,9193100,9256500,9377900,9695400,9894400,9907700,9953900,9958800,9828700,9631000,9515800,9492800,9524900,9373400,9119600,8959300,9294000,,,,
